"Time	RPM	MAP	TP	lambda	MAT	CLT	Gego	Gwarm	Gbaro	Gammae	TPSacc	Gve	PW	PW_raw	IacDC	IacSteps	DutyCycle1	lambdaTarget	Spark	Dwell	EGT #1	Vbatt	IacInt	speed_rpm_ratio	altitude	speed	course	distance	distance_sum	inst_Vems	torque	torque_nominal	L100km	lambda_corr_ego	lambda_corr_ego	afr_diff	corrected_ve	",Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
"0.969	2011	80.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	46	8.6	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	3.423	35.301	33.618	255.000	0.932	0.932	0.998	83.878	",0.969,2011,80.3,1.2,1.002,30,85,93,100,100,97,0,90,5.128,4.364,18,46,8.6,1,30,4.03,676,12.12,123,0,0,0,0,0,0,3.423,35.301,33.618,255,0.932,0.932,0.998,83.878
"1.016	2001	67.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.411	3.640	18	47	7.4	1.000	30.0	4.03	676	12.00	123	0	0.0	0.0	0.0	0	0	2.841	35.697	34.014	255.000	0.928	0.928	1.002	83.522	",1.016,2001,67.3,1.2,0.998,30,85,93,100,100,97,0,90,4.411,3.64,18,47,7.4,1,30,4.03,676,12,123,0,0,0,0,0,0,2.841,35.697,34.014,255,0.928,0.928,1.002,83.522
"1.063	2000	67.8	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.432	3.668	18	47	7.4	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.861	34.313	32.626	255.000	0.926	0.926	1.004	83.344	",1.063,2000,67.8,1.2,0.996,30,85,93,100,100,97,0,90,4.432,3.668,18,47,7.4,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.861,34.313,32.626,255,0.926,0.926,1.004,83.344
"1.110	2003	54.3	1.2	0.991	30.0	85.0	93	100	100	97	0.0	90	3.692	2.936	18	47	6.2	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.294	35.993	34.312	255.000	0.922	0.922	1.009	82.988	",1.11,2003,54.3,1.2,0.991,30,85,93,100,100,97,0,90,3.692,2.936,18,47,6.2,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.294,35.993,34.312,255,0.922,0.922,1.009,82.988
"1.157	1997	67.0	1.2	0.989	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	47	7.3	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.835	33.918	32.229	255.000	0.920	0.920	1.011	82.810	",1.157,1997,67,1.2,0.989,30,85,93,100,100,97,0,90,4.404,3.64,18,47,7.3,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.835,33.918,32.229,255,0.92,0.92,1.011,82.81
"1.204	2010	80.5	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	5.136	4.380	18	46	8.6	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	3.433	36.191	34.510	255.000	0.926	0.926	1.004	83.344	",1.204,2010,80.5,1.2,0.996,30,85,93,100,100,97,0,90,5.136,4.38,18,46,8.6,1,30,4.03,676,12.24,123,0,0,0,0,0,0,3.433,36.191,34.51,255,0.926,0.926,1.004,83.344
"1.250	2003	67.3	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.411	3.640	18	46	7.4	1.000	30.0	4.03	676	12.00	123	0	0.0	0.0	0.0	0	0	2.843	33.424	31.734	255.000	0.926	0.926	1.004	83.344	",1.25,2003,67.3,1.2,0.996,30,85,93,100,100,97,0,90,4.411,3.64,18,46,7.4,1,30,4.03,676,12,123,0,0,0,0,0,0,2.843,33.424,31.734,255,0.926,0.926,1.004,83.344
"1.297	2008	54.8	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	46	6.2	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.321	36.092	34.411	255.000	0.926	0.926	1.004	83.344	",1.297,2008,54.8,1.2,0.996,30,85,93,100,100,97,0,90,3.72,2.964,18,46,6.2,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.321,36.092,34.411,255,0.926,0.926,1.004,83.344
"1.344	2003	67.5	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.432	3.668	18	47	7.4	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.865	35.400	33.717	255.000	0.926	0.926	1.004	83.344	",1.344,2003,67.5,1.2,0.996,30,85,93,100,100,97,0,90,4.432,3.668,18,47,7.4,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.865,35.4,33.717,255,0.926,0.926,1.004,83.344
"1.391	2003	66.0	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.348	3.592	18	47	7.3	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.806	33.819	32.130	255.000	0.928	0.928	1.002	83.522	",1.391,2003,66,1.2,0.998,30,85,93,100,100,97,0,90,4.348,3.592,18,47,7.3,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.806,33.819,32.13,255,0.928,0.928,1.002,83.522
"1.438	2016	80.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.136	4.380	18	46	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.444	35.400	33.717	255.000	0.936	0.936	0.994	84.234	",1.438,2016,80.5,1.2,1.006,30,85,93,100,100,97,0,90,5.136,4.38,18,46,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.444,35.4,33.717,255,0.936,0.936,0.994,84.234
"1.485	2005	67.3	1.2	1.009	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	46	7.3	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.846	33.424	31.734	255.000	0.938	0.938	0.992	84.412	",1.485,2005,67.3,1.2,1.009,30,85,93,100,100,97,0,90,4.396,3.64,18,46,7.3,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.846,33.424,31.734,255,0.938,0.938,0.992,84.412
"1.547	2009	54.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	46	6.2	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.322	37.278	35.601	255.000	0.936	0.936	0.994	84.234	",1.547,2009,54.5,1.2,1.006,30,85,93,100,100,97,0,90,3.72,2.964,18,46,6.2,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.322,37.278,35.601,255,0.936,0.936,0.994,84.234
"1.594	2008	55.0	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	3.752	2.996	18	46	6.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.346	37.080	35.403	255.000	0.932	0.932	0.998	83.878	",1.594,2008,55,1.2,1.002,30,85,93,100,100,97,0,90,3.752,2.996,18,46,6.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.346,37.08,35.403,255,0.932,0.932,0.998,83.878
"1.641	2003	65.8	1.2	1.009	30.0	85.0	93	100	100	97	0.0	90	4.324	3.560	18	47	7.2	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.781	34.906	33.221	255.000	0.938	0.938	0.992	84.412	",1.641,2003,65.8,1.2,1.009,30,85,93,100,100,97,0,90,4.324,3.56,18,47,7.2,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.781,34.906,33.221,255,0.938,0.938,0.992,84.412
"1.688	2016	80.0	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	47	8.6	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	3.431	35.005	33.320	255.000	0.936	0.936	0.994	84.234	",1.688,2016,80,1.2,1.006,30,85,93,100,100,97,0,90,5.128,4.364,18,47,8.6,1,30,4.03,675,12.12,123,0,0,0,0,0,0,3.431,35.005,33.32,255,0.936,0.936,0.994,84.234
"1.735	2017	80.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.120	4.364	18	46	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.433	37.179	35.502	255.000	0.932	0.932	0.998	83.878	",1.735,2017,80.3,1.2,1.002,30,85,93,100,100,97,0,90,5.12,4.364,18,46,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.433,37.179,35.502,255,0.932,0.932,0.998,83.878
